Accession	p-value	fold_change
17136734	0.5	1.064102564102564
1066065	0.75	0.968
442632903	0.93	1.0155038759689923
17647429	0.96	1.0078534031413613
161076411	0.52	0.9467312348668281
17737775	0.52	0.9347826086956522
219990747	0.67	1.0584677419354838
10121901	0.1	0.8623853211009175
17647589	0.21	1.3177966101694916
24647054	0.57	1.06
24648946	0.22	1.1920199501246882
157804	0.19	2.606060606060606
356461080	0.08	0.8296703296703297
17647555	0.04	1.192233009708738
24641071	0.15	0.8454810495626822
19922090	7.72e-06	0.3640776699029126
386765564	0.45	1.1147186147186148
17137696	0.31	1.1322115384615385
17737765	0.37	1.2857142857142858
24645553	0.67	0.9366812227074236
19921418	0.44	0.8735177865612648
2773363	0.04	0.5496402877697841
281362709	0.01	0.8186528497409327
17136324	0.22	0.8811881188118812
24640745	0.57	0.9223803363518758
17737513	0.52	0.9216152019002375
194353462	0.36	1.1288659793814433
21356361	0.99	0.9981515711645101
17137396	0.64	0.9385749385749386
21483298	0.01	0.638095238095238
19921434	0.21	0.851890756302521
17981711	0.03	0.6720977596741344
17737635	0.15	0.8900255754475703
24640849	0.41	1.12590799031477
24663131	0.57	0.8951965065502183
24583150	0.04	0.7113636363636363
24647110	0.13	1.34
17137462	0.44	1.0681293302540416
17975542	0.2	11.915367483296214
111145315	0.85	1.0169133192389006
24641266	0.53	0.8214285714285714
281361211	0.00591	1.386046511627907
24640005	0.62	1.0813186813186813
27820011	0.99	0.9907692307692307
24653894	0.48	1.224400871459695
17136836	0.64	1.15625
17648041	0.28	0.8541284403669724
221330528	1.0	0.9956521739130435
17530801	0.65	1.4285714285714286
17352481	0.14	1.1383812010443863
18860035	0.21	1.1659574468085105
442624643	0.98	0.9886178861788618
21064641	0.18	1.1585677749360614
28573965	0.78	1.028169014084507
24585880	0.47	0.9125827814569536
21358145	0.03	0.8344827586206897
21430870	0.77	1.1156186612576064
24640080	0.39	1.1738148984198646
386764081	0.58	1.1491228070175439
24651181	0.88	1.0037243947858474
21356159	0.17	1.309375
289063489	0.41	1.0555555555555556
21357223	0.65	0.9518900343642611
24653602	0.15	1.2
17737403	0.27	1.078880407124682
17933688	0.22	2.703962703962704
24653166	0.2	1.218436873747495
1336029	0.34	1.8219461697722568
24646371	0.66	0.9423076923076923
18857955	0.92	0.9810126582278481
21358039	0.11	0.803921568627451
17933556	0.68	1.0575539568345325
19922364	0.36	1.1646706586826348
119638219	0.43	1.1299435028248588
25009816	0.01	0.7688787185354691
68051267	0.25	1.232
161077209	0.34	1.1612021857923498
18860083	0.08	0.728494623655914
256818839	0.84	0.9862068965517241
24662781	0.06	0.7597765363128491
24663874	0.03	0.6852791878172588
19921464	0.19	0.8295019157088123
17647889	0.54	0.9145454545454546
442616854	0.39	0.8657074340527577
158527	0.14	1.320754716981132
17647949	0.27	1.1132075471698113
24653584	0.1	1.284431137724551
17864608	0.36	1.0710059171597632
27819944	0.7	1.0533088235294117
24656849	0.92	1.015228426395939
1279384	0.03	1.5046728971962617
24657185	0.0014199999999999998	1.353932584269663
442625389	0.97	1.0
18860087	0.95	1.0096153846153846
320545635	0.38	0.8227979274611399
19921834	0.78	1.048780487804878
24586016	0.33	0.8841698841698842
161077873	0.33	1.1555555555555554
24647570	0.85	0.9864253393665159
19921636	0.78	1.0373831775700935
21355439	0.00346	0.3543859649122807
24652446	0.68	1.0571428571428572
116007886	0.69	1.0545454545454545
24651125	0.84	0.9701492537313433
21355863	0.63	0.9431554524361949
24663668	0.93	1.0023584905660377
24647757	0.46	1.1363636363636365
24663403	0.04	1.3985507246376812
24641429	0.92	0.9916666666666667
28572127	1.8100000000000003e-05	0.7127371273712737
